county_fips,state,county_name,population,democrat_votes,republican_votes,other_votes,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh,median_income (USD),unemployment_rate,race_ethnicity_ancestry,religion,sexual_orientation,disability,gender,gender_identity,num_crimes
55087,WISCONSIN,OUTAGAMIE,190705,47667,58385,108022,362.28,55.6,98.73,236.02,2.77,0.06,0.0,0.01,0.62,"54,862",5.6,2,1,0,2,0,0,5
55085,WISCONSIN,ONEIDA,37845,10105,13671,24159,208.67,43.24,56.58,134.53,2.77,0.0,0.0,0.07,0.0,"54,861",7.4,1,0,0,0,0,0,1
55081,WISCONSIN,MONROE,46274,8433,13775,22611,155.04,36.55,40.89,99.06,6.0,0.0,0.0,0.0,0.0,"45,741",5.7,1,0,0,0,0,0,1
55079,WISCONSIN,MILWAUKEE,939489,317270,134357,458971,229.34,31.12,62.06,151.64,22.4,0.75,0.0,0.19,4.24,"51,002",8.4,3,1,0,0,0,0,4
55071,WISCONSIN,MANITOWOC,81359,16818,27218,44829,376.93,56.11,102.54,240.03,2.01,0.0,0.0,0.0,0.0,"50,829",6.3,1,0,0,0,0,0,1
55063,WISCONSIN,LA CROSSE,120784,37846,28684,67884,189.27,44.58,51.45,121.62,3.55,0.1,0.0,0.0,0.98,"54,532",5.5,0,2,0,0,1,0,3
55055,WISCONSIN,JEFFERSON,84900,19904,27208,47979,154.82,48.22,41.97,102.39,0.98,0.0,0.0,0.0,0.0,"49,591",5.6,1,0,0,0,0,0,1
55049,WISCONSIN,IOWA,23709,7828,5909,13992,228.95,36.78,62.13,161.67,0.0,0.0,0.0,0.0,0.0,"53,603",6.2,1,0,0,0,0,0,1
55045,WISCONSIN,GREEN,37093,10851,10169,21406,92.9,23.73,25.02,63.96,1.87,0.0,0.0,0.05,0.0,"56,620",5.0,4,0,0,0,0,0,4
55043,WISCONSIN,GRANT,51938,10998,14142,25608,388.66,47.28,105.34,247.84,2.94,0.0,0.0,0.0,0.0,"49,410",5.3,1,0,0,0,0,0,1
55039,WISCONSIN,FOND DU LAC,104154,20588,35754,57251,333.02,55.22,90.79,217.0,1.34,0.0,0.0,0.0,0.0,"52,813",6.0,0,3,0,1,0,0,4
55031,WISCONSIN,DOUGLAS,44295,13218,10923,24677,171.25,31.31,46.5,109.38,3.99,0.0,0.0,0.0,0.0,"45,962",9.3,1,0,0,0,0,0,1
55027,WISCONSIN,DODGE,89396,16356,31355,48436,158.68,41.33,43.14,102.02,1.75,0.0,0.0,0.0,0.0,"48,547",5.4,5,0,1,0,0,0,6
55025,WISCONSIN,DANE,561504,260185,78800,344791,162.7,34.59,44.32,107.01,1.19,0.49,0.02,0.21,1.5,"66,094",4.9,5,1,3,0,0,0,9
55021,WISCONSIN,COLUMBIA,58490,16410,16927,33869,133.53,33.3,35.87,85.7,2.7,0.0,0.0,0.0,0.0,"56,134",6.0,0,2,0,0,0,0,2
55017,WISCONSIN,CHIPPEWA,66297,13983,21317,35938,219.95,40.17,59.9,141.21,1.14,0.0,0.0,0.0,0.0,"50,639",6.4,0,0,0,0,1,0,1
55009,WISCONSIN,BROWN,268740,65511,75871,144017,360.37,47.78,98.19,233.77,4.3,0.0,0.0,0.01,0.44,"56,093",6.2,1,1,0,0,0,0,2
