FIPS,POP2020,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh
31049,1838,131.67000000000002,26.450000000000003,35.910000000000004,83.79,22.35,0.0,0.0,0.0,0.0
48011,1848,0.0,0.0,0.0,16.23,32.870000000000005,0.0,0.0,0.0,0.0
32011,1855,118.04000000000002,10.24,30.72,71.68,10.67,0.0,0.0,0.0,0.0
41055,1870,58.19,5.29,15.870000000000001,37.03,4.0600000000000005,0.0,0.0,0.0,0.0
46055,1872,294.36,35.84,80.28,187.32,0.0,0.0,0.0,0.0,0.0
31069,1874,148.5,35.56999999999999,40.5,94.5,20.009999999999998,0.0,0.0,0.0,0.0
38047,1876,710.05,110.78,193.64999999999998,451.84999999999997,0.0,0.0,0.0,0.0,0.0
38065,1877,370.91999999999996,72.82,101.16,236.04,0.0,0.0,0.0,0.0,0.0
31073,1893,66.22,21.02,18.06,42.14,0.0,0.0,0.0,0.0,0.0
46095,1918,161.7,94.0,44.099999999999994,102.89999999999999,8.61,0.0,0.0,0.0,0.0
30059,1927,71.94,21.48,19.62,51.019999999999996,2.59,0.0,0.0,0.0,0.0
46017,1948,749.87,159.56,204.51,477.19,0.0,0.0,0.0,0.0,0.0
30051,1959,157.74,32.0,43.019999999999996,135.64999999999998,13.950000000000001,0.0,0.0,0.0,0.0
48327,1962,127.82,42.81999999999999,34.86,97.14,16.67,0.0,0.0,0.0,0.0
29227,1973,0.0,0.0,0.0,0.0,164.64999999999998,0.0,0.0,0.0,0.0
20025,1991,69.08,7.49,18.84,52.0,17.21,0.0,0.0,0.0,0.0
41021,1995,52.510000000000005,8.27,14.129999999999999,32.97,8.43,0.0,0.0,0.0,0.0
48243,1996,165.32999999999998,15.03,45.089999999999996,107.72,30.439999999999998,0.0,0.0,0.0,0.0
30045,2023,153.89000000000001,13.99,41.97,102.08000000000001,0.0,0.0,0.0,0.0,0.0
26083,2046,105.93,42.04,28.89,67.41,0.0,0.0,0.0,0.0,0.0
30107,2069,185.57,29.73,50.61,140.23000000000002,28.56,0.0,0.0,0.0,0.0
2100,2080,41.62,35.31,10.379999999999999,29.99,9.75,0.0,0.0,0.0,0.0
20187,2084,276.1,25.1,75.30000000000001,177.62,12.079999999999998,0.0,0.0,0.0,0.0
46049,2125,295.02,43.580000000000005,80.46000000000001,205.9,0.0,0.0,0.0,0.0,0.0
2275,2127,43.44,28.28,10.59,24.71,33.23,0.0,0.0,0.0,0.0
20203,2152,211.09000000000003,19.19,57.57000000000001,134.33,6.74,0.0,0.0,0.0,0.0
38095,2162,193.82,53.83,52.86,123.34,10.14,0.0,0.0,0.0,0.0
31077,2188,761.02,93.69999999999999,205.68,484.49,0.0,0.0,0.0,0.0,0.0
48109,2188,414.58000000000004,37.34,112.02000000000001,261.38,60.55,0.0,0.0,0.0,0.0
21201,2193,0.0,0.0,0.0,0.0,14.68,0.0,0.0,0.0,0.0
38023,2195,107.69,103.44999999999999,29.369999999999997,68.53,10.8,0.0,0.0,0.0,0.0
38001,2200,133.98,63.9,36.54,85.25999999999999,64.91,0.0,0.0,0.0,0.0
38013,2201,210.90999999999997,134.13,56.42999999999999,131.67,9.69,0.0,0.0,0.0,0.0
51091,2232,19.17,16.9,0.0,6.72,3.58,0.0,0.0,0.0,0.0
13239,2235,0.0,10.2,0.0,0.0,60.28999999999999,0.0,0.0,0.0,0.0
38075,2282,145.53,138.38,39.69,92.61,5.01,0.0,0.0,0.0,0.0
53023,2286,184.25,42.879999999999995,50.25,117.25,30.08,0.0,0.0,0.0,0.0
40025,2296,77.11,7.01,21.03,49.07,66.47999999999999,0.0,0.0,0.0,0.0
46097,2298,196.79000000000002,48.529999999999994,53.67,130.15,1.56,0.0,0.0,0.0,0.0
38037,2301,223.74,81.67,61.019999999999996,142.38,12.870000000000001,0.0,0.0,0.0,0.0
38039,2306,144.54000000000002,84.53,39.42,91.98,4.41,0.0,0.0,0.0,0.0
8033,2326,76.45,6.79,20.37,47.53,7.9799999999999995,0.0,0.0,0.0,0.0
46111,2330,200.64,52.260000000000005,54.72,136.13,0.0,0.0,0.0,0.0,0.0
38027,2347,346.83000000000004,106.64000000000001,94.59,227.1,0.0,0.0,0.0,0.0,0.0
13307,2348,0.0,3.24,0.0,0.0,49.19,0.0,0.0,0.0,0.0
2105,2365,11.66,1.06,8.48,8.48,17.12,0.0,0.0,0.0,0.0
38043,2394,215.93,70.88,58.89,137.41,0.0,0.0,0.0,0.0,0.0
8115,2404,179.85000000000002,16.35,49.050000000000004,114.45000000000002,8.36,0.0,0.0,0.0,0.0
46089,2411,137.28,55.74000000000001,37.44,104.61,0.0,0.0,0.0,0.0,0.0
46137,2413,92.42999999999999,17.9,24.869999999999997,75.85,2.2,0.0,0.0,0.0,0.0
20065,2415,212.70000000000002,19.05,57.150000000000006,133.35000000000002,16.74,0.0,0.0,0.0,0.0
20179,2447,458.04,41.64,124.92,298.02,11.990000000000002,0.0,0.0,0.0,0.0
48413,2451,680.79,61.89,185.67000000000002,433.23,73.33,0.0,0.0,0.0,0.0
20097,2460,68.97999999999999,4.02,12.059999999999999,28.139999999999997,40.260000000000005,0.0,0.0,0.0,0.0
56027,2467,64.67999999999999,41.24,17.64,41.16,0.28,0.0,0.0,0.0,0.0
46107,2472,533.26,48.46,145.38,339.22,0.0,0.0,0.0,0.0,0.0
20049,2483,63.11,5.36,16.080000000000002,37.52,18.0,0.0,0.0,0.0,0.0
49055,2486,22.11,2.01,6.029999999999999,14.069999999999999,0.0,0.0,0.0,0.0,0.0
40057,2488,88.0,8.0,24.0,56.0,192.01,0.0,0.0,0.0,0.0
38041,2489,271.37,73.4,74.01,172.69,9.99,0.0,0.0,0.0,0.0
49033,2510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20075,2518,104.82999999999998,9.53,28.589999999999996,70.68,10.34,0.0,0.0,0.0,0.0
31063,2519,19.69,36.519999999999996,5.37,12.530000000000001,2.1,0.0,0.0,0.0,0.0
38051,2530,148.98000000000002,119.85000000000001,40.2,93.80000000000001,1.8900000000000001,0.0,0.0,0.0,0.0
31133,2544,77.99000000000001,14.16,19.47,51.33,3.05,0.0,0.0,0.0,0.0
48079,2547,424.49,38.59,115.77000000000001,281.91,76.03999999999999,0.0,0.0,0.0,0.0
20153,2561,215.15999999999997,19.56,58.67999999999999,140.82,3.9,0.0,0.0,0.0,0.0
20017,2572,121.88,11.08,33.24,83.78,0.0,0.0,0.0,0.0,0.0
16023,2574,71.32,10.61,18.18,52.129999999999995,41.75,0.0,0.0,0.0,0.0
20023,2616,55.91,28.9,14.79,34.51,10.99,0.0,0.0,0.0,0.0
31087,2616,96.69,9.67,26.369999999999997,69.17999999999999,7.69,0.0,0.0,0.0,0.0
2066,2617,12.740000000000002,1.11,3.33,27.559999999999995,4.800000000000001,0.0,0.0,0.0,0.0
48087,2652,53.900000000000006,4.9,14.700000000000001,41.46,156.25,0.0,0.0,0.0,0.0
20135,2687,339.19,33.9,92.1,214.89999999999998,12.090000000000002,0.0,0.0,0.0,0.0
20129,2701,101.85999999999999,9.26,27.78,64.82,36.46,0.0,0.0,0.0,0.0
20063,2718,250.93,22.07,63.12,162.0,0.0,0.0,0.0,0.0,0.0
46003,2747,329.12,77.1,89.76,209.44,0.0,0.0,0.0,0.0,0.0
48385,2758,239.25,21.75,65.25,159.5,78.71000000000001,0.0,0.0,0.0,0.0
20109,2762,248.93,32.84,67.89,167.45999999999998,22.010000000000005,0.0,0.0,0.0,0.0
20039,2764,81.95,19.17,22.35,59.39,6.62,0.0,0.0,0.0,0.0
48421,2782,103.89,8.99,26.97,62.93,78.74000000000001,0.0,0.0,0.0,0.0
46071,2806,31.35,34.099999999999994,8.55,19.950000000000003,10.68,0.0,0.0,0.0,0.0
20195,2808,210.76,54.480000000000004,57.480000000000004,137.68,5.5600000000000005,0.0,0.0,0.0,0.0
48191,2825,60.39,5.49,16.47,38.43,89.44999999999999,0.0,0.0,0.0,0.0
46043,2835,145.85999999999999,118.93,39.78,95.38999999999999,0.0,0.0,0.0,0.0,0.0
46105,2835,176.39000000000001,70.27,48.03,125.61000000000001,4.08,0.0,0.0,0.0,0.0
13061,2848,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,0.0
31135,2858,85.12,8.36,21.419999999999998,52.08,0.0,0.0,0.0,0.0,0.0
13007,2876,0.0,13.21,0.0,0.0,20.45,0.0,0.0,0.0,0.0
13125,2884,0.0,0.0,0.0,0.0,32.07,0.0,0.0,0.0,0.0
31061,2889,48.73,59.489999999999995,13.29,31.009999999999998,3.53,0.0,0.0,0.0,0.0
31017,2903,126.86,13.82,34.11,79.59,29.83,0.0,0.0,0.0,0.0
20047,2907,319.77,35.16,87.21000000000001,203.49,7.23,0.0,0.0,0.0,0.0
