FIPS,POP2020,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh,total_adh
40025,2296,7.01,0.0,0.0,0.0,47.16,0.0,0.0,0.0,0.0,54.169999999999995
46097,2298,17.89,19.580000000000002,0.0,4.92,0.52,0.0,0.0,0.0,0.0,42.910000000000004
38037,2301,20.34,42.029999999999994,0.0,0.0,5.390000000000001,0.0,0.0,0.0,0.0,67.75999999999999
38039,2306,13.14,39.64,0.0,0.0,1.47,0.0,0.0,0.0,0.0,54.25
8033,2326,8.55,0.0,0.0,0.0,5.84,0.0,0.0,0.0,0.0,14.39
46111,2330,18.24,19.69,0.0,8.45,0.0,0.0,0.0,0.0,0.0,46.379999999999995
38027,2347,31.53,38.77,0.0,6.39,0.0,0.0,0.0,0.0,0.0,76.69000000000001
13307,2348,0.0,3.24,0.0,0.0,35.39,0.0,0.0,0.0,0.0,38.63
2105,2365,1.1400000000000001,0.0,1.06,0.0,8.08,0.0,0.0,0.0,0.0,10.280000000000001
38043,2394,19.63,31.949999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.58
8115,2404,16.35,1.29,0.0,0.0,8.36,0.0,0.0,0.0,0.0,26.0
46089,2411,12.48,23.89,0.0,17.25,0.0,0.0,0.0,0.0,0.0,53.620000000000005
46137,2413,8.909999999999998,9.61,0.0,17.82,2.2,0.0,0.0,0.0,0.0,38.54
20065,2415,22.2,1.95,0.0,0.0,17.89,0.0,0.0,0.0,0.0,42.04
20179,2447,41.64,2.25,0.0,6.54,7.07,0.0,0.0,0.0,0.0,57.5
48413,2451,61.89,0.0,0.0,0.0,42.97,0.0,0.0,0.0,0.0,104.86
20097,2460,28.779999999999998,0.0,0.0,0.0,14.96,0.0,0.0,0.0,0.0,43.739999999999995
56027,2467,5.88,2.72,0.0,0.0,0.28,0.0,0.0,0.0,0.0,8.879999999999999
46107,2472,48.660000000000004,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,49.06
20049,2483,9.510000000000002,0.0,0.0,0.0,14.38,0.0,0.0,0.0,0.0,23.89
49055,2486,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01
40057,2488,8.0,0.0,0.0,0.0,147.47,0.0,0.0,0.0,0.0,155.47
38041,2489,24.67,29.849999999999998,0.0,0.0,3.33,0.0,0.0,0.0,0.0,57.849999999999994
49033,2510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20075,2518,9.53,3.49,0.0,3.97,9.22,0.0,0.0,0.0,0.0,26.21
31063,2519,1.79,17.74,0.0,0.0,2.1,0.0,0.0,0.0,0.0,21.63
38051,2530,14.98,49.57,0.0,0.0,0.63,0.0,0.0,0.0,0.0,65.17999999999999
31133,2544,13.09,11.6,0.0,5.9,1.8499999999999999,0.0,0.0,0.0,0.0,32.44
48079,2547,38.59,0.0,0.0,11.78,32.86,0.0,0.0,0.0,0.0,83.23
20153,2561,19.56,0.0,0.0,3.9,3.9,0.0,0.0,0.0,0.0,27.359999999999996
20017,2572,11.08,1.24,0.0,6.22,0.0,0.0,0.0,0.0,0.0,18.54
16023,2574,6.06,0.35,0.0,9.71,9.129999999999999,0.0,0.0,0.0,0.0,25.25
20023,2616,6.609999999999999,17.43,0.0,0.0,2.95,0.0,0.0,0.0,0.0,26.99
31087,2616,8.79,0.88,0.0,7.65,2.9699999999999998,0.0,0.0,0.0,0.0,20.29
2066,2617,1.6400000000000001,0.0,0.0,19.79,1.6,0.0,0.0,0.0,0.0,23.03
48087,2652,4.9,0.0,0.0,7.16,93.81,0.0,0.0,0.0,0.0,105.87
20135,2687,32.19,1.6,0.0,0.0,4.84,0.0,0.0,0.0,0.0,38.629999999999995
20129,2701,9.26,0.0,0.0,0.0,24.889999999999997,0.0,0.0,0.0,0.0,34.15
20063,2718,36.08,1.03,0.0,14.72,0.0,0.0,0.0,0.0,0.0,51.83
46003,2747,29.92,20.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.980000000000004
48385,2758,21.75,0.0,0.0,7.25,33.65,0.0,0.0,0.0,0.0,62.65
20109,2762,22.63,1.31,0.0,9.05,15.71,0.0,0.0,0.0,0.0,48.699999999999996
20039,2764,7.45,6.220000000000001,0.0,7.24,1.8,0.0,0.0,0.0,0.0,22.710000000000004
48421,2782,13.99,0.0,0.0,0.0,44.68000000000001,0.0,0.0,0.0,0.0,58.67000000000001
46071,2806,2.85,10.93,0.0,0.0,3.56,0.0,0.0,0.0,0.0,17.34
20195,2808,19.16,18.69,0.0,3.56,11.260000000000002,0.0,0.0,0.0,0.0,52.67
48191,2825,5.49,0.0,0.0,0.0,27.79,0.0,0.0,0.0,0.0,33.28
46043,2835,13.26,64.58,0.0,2.57,0.0,0.0,0.0,0.0,0.0,80.41
46105,2835,16.290000000000003,33.93,0.0,13.54,4.55,0.0,0.0,0.0,0.0,68.31
13061,2848,0.0,1.02,0.0,0.0,17.7,0.0,0.0,0.0,0.0,18.72
31135,2858,13.719999999999999,1.22,0.0,2.1,0.0,0.0,0.0,0.0,0.0,17.04
13007,2876,0.0,13.770000000000001,0.0,0.0,17.11,0.0,0.0,0.0,0.0,30.880000000000003
13125,2884,0.0,0.0,0.0,0.0,33.32,0.0,0.0,0.0,0.0,33.32
31061,2889,4.43,35.58,0.0,0.0,3.53,0.0,0.0,0.0,0.0,43.54
31017,2903,13.16,2.45,0.0,0.0,10.61,0.0,0.0,0.0,0.0,26.22
20047,2907,29.07,2.37,0.0,0.0,3.3000000000000003,0.0,0.0,0.0,0.0,34.74
20089,2932,12.34,8.940000000000001,0.0,1.91,6.41,0.0,0.0,0.0,0.0,29.6
20105,2939,7.55,2.38,0.0,11.57,4.12,0.0,0.0,0.0,0.0,25.62
20165,2956,19.69,18.909999999999997,0.0,4.06,2.2,0.0,0.0,0.0,0.0,44.86
31163,2959,55.39,0.0,0.0,0.0,3.4499999999999997,0.0,0.0,0.0,0.0,58.84
46117,2980,42.42,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.79
38011,2993,31.2,48.55,0.0,0.0,4.08,0.0,0.0,0.0,0.0,83.83
38063,3015,20.7,70.63999999999999,0.0,2.65,0.0,0.0,0.0,0.0,0.0,93.99
30025,3049,14.59,32.050000000000004,0.0,0.0,8.86,0.0,0.0,0.0,0.0,55.5
48295,3059,26.87,4.19,0.0,9.81,31.74,0.0,0.0,0.0,0.0,72.61
31083,3073,6.74,16.62,0.0,2.93,0.0,0.0,0.0,0.0,0.0,26.29
48105,3098,18.72,0.0,0.0,0.0,20.14,0.0,0.0,0.0,0.0,38.86
48417,3105,4.44,5.18,0.0,0.0,40.55,0.0,0.0,0.0,0.0,50.17
20207,3115,6.65,2.09,0.0,0.0,3.05,0.0,0.0,0.0,0.0,11.79
48271,3129,30.27,0.45,0.0,0.0,21.48,0.0,0.0,0.0,0.0,52.2
46059,3145,23.82,13.8,0.0,8.53,3.63,0.0,0.0,0.0,0.0,49.78000000000001
48229,3202,29.36,0.0,0.0,0.0,8.43,0.0,0.0,0.0,0.0,37.79
