county_fip,democrat_votes,republican_votes,other_votes
13247,31244,13012,44686
13249,462,1800,2275
13251,2661,3916,6628
13253,1254,2611,3884
13255,11784,18057,30116
13257,2385,9368,11885
13259,1182,801,1990
13261,6318,5732,12150
13263,2114,1392,3522
13265,561,360,928
13267,2061,6053,8183
13269,1387,2418,3839
13271,1487,2825,4333
13273,2376,2004,4416
13275,8708,12954,21853
13277,5322,10784,16283
13279,2939,7872,10914
13281,1550,6384,7979
13283,952,2101,3077
13285,11578,18143,30049
13287,1410,2349,3792
13289,2044,2370,4444
13291,2801,12651,15560
13293,4201,8608,12905
13295,5769,23174,29354
13297,12682,37842,51095
13299,4211,9865,14192
13301,1469,1166,2651
13303,4730,4663,9459
13305,2687,9987,12778
13307,639,748,1390
13309,689,1583,2285
13311,2411,12222,14816
13313,10670,25636,36746
13315,862,2403,3281
13317,2160,2823,5029
13319,2075,2664,4770
13321,2395,6830,9285
15001,58731,26897,87814
15003,238866,136250,382102
15007,21225,11582,33497
15009,47305,22126,71044
16001,120539,130699,259389
16003,591,1941,2586
16005,14682,23331,39553
16007,350,2914,3315
16009,977,3878,4973
16011,4124,15295,19996
16013,8919,4032,13289
16015,1204,3485,4820
16017,8310,18369,27335
16019,14254,37805,53995
16021,1220,4937,6313
16023,188,1202,1415
16025,149,507,754
16027,25881,61759,90410
16029,431,2906,3416
16031,1464,7907,9629
16033,41,264,311
16035,877,3453,4419
16037,603,2089,2739
16039,2601,7246,10205
16041,657,5845,6664
16043,998,5548,6719
16045,1803,7951,9958
16047,1256,4659,6050
16049,1561,7826,9602
16051,1661,12099,14173
16053,1893,5734,7812
16055,24312,62837,89467
16057,10236,9472,20570
16059,1032,3592,4738
16061,349,1489,1870
16063,414,1469,1940
16065,2666,13559,17112
16067,1550,6265,7993
16069,6686,13738,20967
16071,249,2148,2451
16073,816,3819,4742
16075,2161,8862,11293
16077,865,2116,3074
16079,1693,4216,6049
16081,3318,2858,6347
16083,9391,25897,36501
16085,2976,3947,7063
16087,1073,4154,5344
17001,8633,24220,33527
17003,1114,1486,2618
17005,2288,5625,8145
17007,10542,13883,24979
17009,486,1931,2521
17011,6669,10411,17434
17013,677,2046,2772
17015,2748,5105,8024
17017,1615,3625,5317
17019,57067,35285,95142
17021,4335,11563,16204
17023,1993,6226,8356
17025,1129,5629,6886
17027,4493,14304,19170
17029,8067,14037,22606
17031,1725973,558269,2321486
17033,2202,7043,9425
17035,1142,4601,5832
17037,24643,21905,47825
17039,2191,5632,8024
17041,2335,6227,8738
17043,281222,193611,485104
17045,1887,6193,8196
17047,488,2833,3366
17049,3716,15006,19049
17051,1826,8055,10056
17053,1754,5048,6953
17055,4760,13622,18626
17057,6503,9867,16678
17059,622,2019,2674
17061,1349,4770,6227
17063,9626,16523,26691
17065,824,3432,4315
17067,2315,6906,9383
17069,449,1691,2162
17071,1187,2394,3647
17073,9797,15300,25635
17075,2908,10877,14025
17077,11181,10890,22643
17079,1007,4494,5576
17081,4608,12476,17404
17083,2961,8712,11937
17085,5109,7166,12496
17087,1281,5059,6437
17089,130166,96775,231876
17091,20271,28532,49902
17093,33168,29492,63974
17095,10703,12009,23143
17097,204032,123594,334177
17099,22442,30113,53591
17101,1419,4886,6411
17103,6407,9630,16397
17105,4615,12208,17174
17107,3840,9136,13294
17109,4992,7027,12285
17111,78154,82260,163879
17113,43933,40502,87002
17115,19847,28589,49390
17117,7365,16153,24022
17119,57836,76031,137139
17121,4524,12678,17458
17123,2005,4197,6334
17125,1985,4654,6766
17127,1725,4997,6813
17129,2022,4764,6928
17131,3280,5418,8893
17133,6569,14142,21148
17135,3905,9544,13727
17137,5076,9950,15309
17139,1662,4964,6744
17141,9428,16248,26272
17143,43578,38252,83973
17145,2612,7313,10053
17147,3329,6248,9822
17149,1484,6332,7949
17151,433,1722,2175
17153,891,1699,2624
17155,1338,1993,3390
17157,3592,11076,14891
17159,1830,6089,8063
17161,36691,28603,66758
17163,68325,57150,128091
17165,2789,8103,11066
17167,48917,53485,104752
17169,1068,2773,3906
17171,572,2114,2737
17173,2504,9426,12097
17175,815,2004,2883
17177,9055,12521,22048
17179,24819,42513,69052
17181,2579,6161,8886
17183,10323,20725,31584
17185,1253,4237,5593
17187,3090,4676,7909
17189,1641,6115,7902
17191,1187,7176,8486
17193,1517,5791,7421
17195,12253,14527,27375
17197,183915,155116,345105
17199,10206,22801,33653
17201,64056,60861,127709
17203,6160,14799,21432
18001,3236,10686,14209
18003,73189,92083,169082
18005,12934,22410,36235
18007,1009,3007,4114
18009,1376,3841,5351
18011,15244,22351,38520
18013,3036,5777,8981
18015,2224,7086,9495
18017,4304,10552,15198
18019,23093,33668,57869
18021,2552,9499,12267
18023,3361,9334,12949
18025,1355,3483,4944
18027,2169,9576,11954
18029,5446,19528,25383
18031,2439,9575,12287
18033,4966,14237,19628
18035,20474,26827,48191
18037,6292,15033,21770
18039,26108,46972,74387
18041,2237,7755,10136
18043,17511,23400,41802
18045,1629,6154,7986
18047,2137,9691,12000
18049,2280,6694,9147
18051,4023,11817,16161
18053,8015,18543,27159
18055,3389,11103,14784
18057,88390,101587,193999
18059,12895,28996,42911
18061,5343,14565,20236
18063,32604,53802,88505
18065,5544,15043,21030
18067,13303,26449,40630
18069,4255,13147,17829
18071,4302,14555,19238
18073,3798,11383,15475
18075,1926,6361,8461
18077,4731,9663,14697
18079,2523,9490,12251
18081,24736,51219,77618
18083,4067,11655,16011
18085,8364,26499,35787
18087,2355,8110,10633
18089,124870,91760,219956
18091,22427,25997,49392
18093,4961,15601,21025
18095,19524,31215,51793
18097,247772,134175,389619
18099,5712,13844,19927
18101,1011,4029,5144
18103,3235,10925,14473
18105,39861,22071,63151
18107,4213,12659,17198
18109,7781,27512,36159
18111,1509,4942,6591
18113,4660,14195,19190
18115,668,2054,3075
18117,2224,6432,8832
18119,2420,7286,9904
18121,1503,5400,7013
18123,3203,5345,8722
18125,1415,4692,6220
18127,39746,45008,86509
18129,3811,9206,13236
18131,1463,4246,5806
18133,3946,12278,16597
18135,2513,8312,11070
18137,2774,11261,14271
18139,1754,6035,7932
18141,59896,53164,115238
18143,2701,7331,10167
18145,5023,14568,19991
18147,3213,7357,10769
18149,2650,7466,10290
18151,4513,11327,16162
18153,2153,6691,8994
18155,964,3133,4154
18157,35017,34581,71448
18159,1834,6110,8116
18161,736,2688,3483
18163,34415,41844,77662
18165,2145,5184,7481
18167,18123,24545,43594
18169,3494,10762,14576
18171,974,3401,4472
18173,11923,21326,33829
18175,2784,9114,12139
18177,9524,17567,27679
18179,2928,10855,14050
18181,3032,7957,11166
18183,4234,12862,17556
19001,1198,2922,4177
19003,590,1535,2160
19005,2576,4744,7422
19007,1891,4522,6516
19009,1071,2299,3420
19011,5160,9208,14642
19013,35647,29813,66593
19015,6303,8729,15340
19017,5958,8324,14546
19019,4169,6430,10774
19021,2961,5074,8167
19023,2424,5556,8098
19025,1470,3698,5258
19027,3454,7766,11335
19029,2201,4979,7276
19031,4337,6184,10703
19033,10941,12499,23801
19035,1936,4510,6518
19037,2233,4322,6631
19039,1466,3153,4670
19041,2662,6158,8969
19043,3340,6119,9594
19045,10812,13410,24687
19047,2220,4862,7154
19049,26879,28162,56022
19051,1013,3035,4102
19053,1120,2618,3804
19055,3157,6688,10003
19057,8893,10642,19956
19059,3661,7452,11244
19061,25657,27358,53926
19063,1520,3268,4853
19065,3835,6174,10186
19067,3172,4747,8032
19069,1626,3433,5130
19071,1080,2717,3857
19073,1769,3229,5057
19075,2206,4945,7276
19077,1985,4280,6371
19079,2843,4982,7943
19081,1683,4401,6172
19083,2976,5864,8989
19085,2440,5580,8155
19087,3275,6525,9982
19089,1772,3133,4958
19091,1442,3825,5327
19093,917,2885,3849
19095,3547,6035,9742
19097,4029,6957,11135
19099,7737,12125,20184
19101,4319,4476,8959
19103,59177,23206,83851
19105,4213,6596,10989
19107,1414,3809,5303
19109,2696,6288,9090
19111,6541,9808,16734
19113,70874,53744,127458
19115,1726,3506,5332
19117,1284,3295,4630
19119,1067,5718,6863
19121,3134,6525,9824
19123,2894,8320,11404
19125,6178,12722,19232
19127,8176,9610,18136
19129,2508,5616,8268
19131,2053,3684,5822
19133,1407,3262,4728
19135,1078,2978,4088
19137,1583,3666,5327
19139,9372,10865,20671
19141,1569,5871,7551
19143,601,2695,3328
19145,2086,5328,7528
19147,1519,3378,4958
19149,3494,10515,14188
19151,933,2832,3823
19153,146250,107564,258755
19155,18575,26352,45744
19157,4306,5673,10140
19159,709,1974,2714
19161,1389,4069,5535
19163,46926,43958,92599
19165,1959,4711,6795
19167,3019,15775,19051
19169,29175,20541,51038
19171,3577,5325,9048
19173,746,2470,3249
19175,2061,4024,6185
19177,875,2870,3791
19179,5821,9536,15633
19181,12574,17868,31039
19183,4561,6991,11765
19185,727,2344,3109
19187,6613,10970,17822
19189,2135,3726,5970
19191,5617,6263,12064
19193,18704,25926,45362
19195,1596,2742,4418
19197,1996,4148,6254
20001,1570,4218,5892
20003,782,2929,3792
20005,2359,4906,7440
20007,291,2014,2342
20009,2340,8608,11130
20011,1541,5023,6676
20013,1104,3262,4471
20015,9181,22634,32520
20017,345,1123,1491
20019,212,1402,1639
20021,2194,6766,9128
20023,224,1183,1429
20025,143,904,1067
20027,894,3177,4182
20029,920,3242,4263
20031,964,3489,4565
20033,126,762,916
20035,4273,9656,14231
20037,6179,10045,16645
20039,218,1260,1498
20041,2060,7126,9349
20043,686,2976,3709
20045,40785,17286,59495
20047,271,1141,1431
20049,195,1140,1361
20051,3737,9758,13800
20053,648,2148,2853
20055,4325,7236,11800
20057,2947,5803,8915
20059,3690,8479,12477
20061,3983,5323,9603
20063,166,1291,1471
20065,228,1080,1337
20067,518,1936,2501
20069,341,1911,2288
20071,78,549,641
20073,569,2444,3077
20075,141,698,859
20077,461,2168,2678
20079,6747,10182,17309
20081,268,1122,1410
20083,154,875,1045
20085,1881,4517,6584
20087,3194,6334,9782
20089,212,1387,1628
20091,184259,155631,347214
20093,267,1164,1455
20095,752,3130,3949
20097,156,980,1165
20099,2655,5735,8563
20101,115,762,895
20103,13886,21610,36490
20105,266,1283,1579
20107,896,4048,5046
20109,186,1249,1458
20111,6055,7550,13988
20113,4134,9964,14438
20115,1516,4465,6111
20117,1259,3729,5114
20119,263,1523,1825
20121,5247,12308,17937
20123,558,2504,3101
20125,3228,9931,13426
20127,729,2124,2899
20129,150,1034,1198
20131,927,4664,5684
20133,1796,4970,6877
20135,149,1339,1513
20137,364,2007,2415
20139,2136,5705,8035
20141,281,1629,1945
20143,506,2610,3191
20145,643,2045,2739
20147,318,2418,2781
20149,3313,9452,13083
20151,933,3108,4137
20153,214,1261,1504
20155,8886,18443,27941
20157,424,2182,2657
20159,965,3262,4319
20161,12765,11610,25171
20163,339,2325,2699
20165,295,1350,1677
20167,600,2790,3467
20169,8214,15722,24531
20171,299,2014,2354
20173,95870,122416,223688
20175,1833,3372,5294
20177,43015,40443,85657
20179,147,1282,1445
20181,396,2269,2727
20183,336,1763,2129
20185,357,1645,2034
20187,148,614,776
20189,237,1760,2031
20191,2591,8105,10928
20193,625,3130,3810
20195,242,1363,1630
20197,964,2845,3902
20199,44,770,825
20201,475,2363,2883
20203,149,808,968
20205,723,3153,3954
20207,294,1228,1546
20209,36788,18934,56785
21001,1392,7276,8763
21003,1642,7586,9363
21005,3347,9657,13240
21007,825,3356,4225
21009,5127,14654,20055
21011,1573,3986,5627
21013,1789,8140,10044
21015,20897,44811,66953
21017,3296,6190,9643
21019,7083,14295,21741
21021,5298,8872,14467
21023,800,3398,4244
21025,1301,4265,5661
21027,2350,7701,10197
21029,10551,30708,41964
21031,1079,4960,6122
21033,1433,4906,6428
21035,5794,11351,17443
21037,19373,28482,48833
21039,463,2159,2638
21041,1116,2954,4135
21043,2642,8775,11585
21045,918,6179,7171
21047,8296,15080,23863
21049,6004,11811,18128
21051,831,6677,7590
21053,603,4280,4932
21055,731,3451,4242
21057,508,2769,3309
21059,17283,31023,49240
21061,1227,4828,6131
21063,712,2246,2995
21065,1355,5100,6538
21067,90566,58845,152664
21069,1474,5534,7066
21071,3884,12250,16351
21073,12650,12900,26059
21075,791,1605,2421
21077,822,2955,3849
21079,1830,6754,8703
21081,2205,8725,11106
21083,3559,13206,17018
21085,2400,9453,11983
21087,920,4838,5812
21089,4873,13064,18176
21091,1351,3145,4587
21093,18101,29832,48941
21095,1494,9367,10971
21097,2400,6334,8853
21099,1908,6345,8369
21101,7639,12730,20688
21103,2142,5843,8107
21105,458,1714,2199
21107,5439,15757,21509
21109,605,5453,6113
21111,228288,150619,386093
21113,8567,17096,26251
21115,1608,8450,10192
21117,32265,48123,82108
21119,1412,4779,6251
21121,2114,11012,13273
21123,1504,5685,7301
21125,4474,23234,28097
21127,1238,5633,6955
21129,459,2159,2659
21131,446,4321,4811
21133,1799,7226,9135
21135,823,4986,5883
21137,2254,8489,10913
21139,939,4010,5003
21141,3094,9067,12346
21143,1092,3100,4228
21145,11190,21820,33521
21147,725,5664,6435
21149,1074,3633,4782
21151,15580,27353,43903
21153,1213,4174,5446
21155,2722,6113,8928
21157,4071,13297,17601
21159,403,3496,3930
21161,2362,5477,7958
21163,3632,10184,14110
21165,750,2311,3102
21167,3033,8506,11735
21169,975,3959,5012
21171,657,4628,5330
21173,3630,8993,12837
21175,1172,4297,5535
21177,3544,10496,14229
21179,7188,15703,23245
21181,955,2408,3396
21183,2404,8582,11127
21185,14504,22651,37936
21187,1098,4292,5456
21189,216,1670,1895
21191,1322,5515,6925
21193,2350,8118,10606
21195,4862,20279,25368
21197,1367,4041,5505
21199,5664,25441,31537
21201,253,884,1146
21203,1134,6577,7783
21205,3880,5994,10058
21207,1329,7506,8939
21209,10564,17764,28950
21211,8076,15054,23542
21213,2681,5888,8732
21215,2530,8737,11429
21217,2961,9376,12510
21219,1202,4060,5351
21221,1791,5487,7375
21223,1012,3227,4319
21225,1529,4965,6576
21227,22477,31790,55351
21229,1644,4482,6223
21231,1700,7430,9240
21233,1412,4506,5991
21235,2552,12567,15347
21237,839,2097,2979
21239,6530,8362,15211
22001,5443,22596,28425
22003,2108,7574,9810
22005,20399,40687,62325
22007,3833,7271,11235
22009,4979,12028,17292
22011,2542,13575,16357
22013,3067,3891,7050
22015,15662,38074,54655
22017,55110,48021,104912
22019,25982,55066,82663
22021,745,3976,4762
22023,324,3671,4039
22025,1269,3541,4858
22027,2731,3770,6580
22029,3177,5550,8828
22031,5457,9112,14736
22033,115577,88420,208182
22035,1900,1080,3036
22037,4280,6064,10509
22039,4158,11053,15412
22041,2658,6970,9720
22043,1157,8117,9392
22045,11027,21251,32713
22047,8514,7893,16719
22049,2143,5394,7632
22051,84477,105949,193733
22053,3208,11423,14841
22055,39685,72519,114521
22057,8672,36024,45388
22059,638,6378,7077
22061,7559,11311,19275
22063,9249,54877,65230
22065,2654,1930,4670
22067,4946,6510,11574
22069,6896,9358,16554
22071,147854,26664,177819
22073,25913,42255,69166
22075,3414,7412,11014
22077,4683,7503,12371
22079,19475,38347,58865
22081,1644,2413,4132
22083,3225,6607,9940
22085,1731,8776,10596
22087,6151,11179,17650
22089,9800,18233,28517
22091,3346,2714,6158
22093,6510,5954,12590
22095,13582,7538,21432
22097,17372,23171,41154
22099,8439,18203,27038
22101,8055,14811,23186
22103,37746,99666,140110
22105,18887,37806,57661
22107,1329,1197,2554
22109,11198,34339,46240
22111,2654,8407,11201
