state,county,race_ethnicity_ancestry,religion,sexual_orientation,disability,gender,gender_identity,num_crimes,county_fips
Ohio,Athens,1,0,0,0,0,0,1,39009
Ohio,Ashland,0,0,1,0,0,0,1,39005
Ohio,Allen,1,0,0,0,0,0,1,39003
North Dakota,Williams,2,0,1,0,0,0,3,38105
North Dakota,Sargent,0,0,1,0,0,0,1,38081
North Dakota,Mountrail,1,0,0,0,0,0,1,38061
North Dakota,Morton,2,0,0,0,0,0,2,38059
North Dakota,McLean,1,0,0,0,0,0,1,38055
North Dakota,Grand Forks,5,0,0,0,0,0,5,38035
North Dakota,Cass,1,1,0,0,0,0,2,38017
North Dakota,Burleigh,1,0,0,0,0,0,1,38015
North Dakota,Bowman,0,0,1,0,0,0,1,38011
North Dakota,Barnes,1,0,0,0,0,0,1,38003
North Carolina,Wilson,1,0,0,0,0,0,1,37195
North Carolina,Watauga,0,1,0,0,0,0,1,37189
North Carolina,Wake,13,2,6,0,0,0,21,37183
North Carolina,Union,2,1,0,1,0,0,4,37179
North Carolina,Rowan,1,1,0,0,0,0,2,37159
North Carolina,Robeson,2,2,0,0,0,0,4,37155
North Carolina,Pitt,8,0,2,0,0,0,10,37147
North Carolina,Person,2,0,0,0,0,0,2,37145
North Carolina,Pamlico,1,0,0,0,0,0,1,37137
North Carolina,Orange,2,0,1,0,0,0,3,37135
North Carolina,Onslow,4,0,0,3,0,0,7,37133
North Carolina,New Hanover,8,6,2,0,0,0,16,37129
North Carolina,Moore,1,1,0,0,0,0,2,37125
North Carolina,Mecklenburg,11,9,4,0,0,0,24,37119
North Carolina,Macon,1,1,0,0,0,0,2,37113
North Carolina,McDowell,1,0,0,1,0,0,2,37111
North Carolina,Johnston,2,0,0,0,0,0,2,37101
North Carolina,Jackson,2,0,0,0,0,0,2,37099
North Carolina,Iredell,2,0,0,0,0,0,2,37097
North Carolina,Haywood,1,0,0,0,0,0,1,37087
North Carolina,Harnett,0,1,0,0,0,0,1,37085
North Carolina,Guilford,10,1,1,1,0,0,13,37081
North Carolina,Granville,1,1,0,0,0,0,2,37077
North Carolina,Gaston,1,0,0,0,0,0,1,37071
North Carolina,Franklin,2,0,0,0,0,0,2,37069
North Carolina,Forsyth,1,0,1,0,0,0,2,37067
North Carolina,Durham,3,0,1,0,0,0,4,37063
North Carolina,Duplin,0,1,0,0,0,0,1,37061
North Carolina,Dare,1,0,0,0,0,0,1,37055
North Carolina,Currituck,2,0,1,0,0,0,3,37053
North Carolina,Cumberland,10,1,3,0,0,0,14,37051
North Carolina,Craven,2,0,2,0,0,0,4,37049
North Carolina,Catawba,2,0,2,0,0,0,4,37035
North Carolina,Caswell,4,0,0,0,0,0,4,37033
North Carolina,Carteret,4,0,0,0,0,0,4,37031
North Carolina,Caldwell,2,0,0,1,0,0,3,37027
North Carolina,Cabarrus,0,1,0,0,0,0,1,37025
North Carolina,Burke,3,1,0,0,0,0,4,37023
North Carolina,Buncombe,4,5,3,0,0,0,12,37021
North Carolina,Brunswick,4,0,0,0,0,0,4,37019
North Carolina,Bertie,0,1,0,0,0,0,1,37015
North Carolina,Beaufort,1,0,0,0,0,0,1,37013
North Carolina,Avery,0,2,0,0,0,0,2,37011
North Carolina,Ashe,0,1,0,0,0,0,1,37009
North Carolina,Alamance,8,2,1,0,0,0,11,37001
New York,Westchester,9,10,2,0,0,0,21,36119
New York,Wayne,0,0,1,0,0,0,1,36117
New York,Ulster,0,2,0,0,0,1,3,36111
New York,Tioga,1,0,0,0,0,0,1,36107
New York,Sullivan,0,3,0,0,0,0,3,36105
New York,Suffolk,7,8,3,0,0,0,18,36103
New York,Schoharie,0,0,1,0,0,0,1,36095
New York,Schenectady,1,0,0,0,0,0,1,36093
New York,St. Lawrence,2,0,0,0,0,0,2,36089
New York,Rockland,0,4,0,0,0,0,4,36087
New York,Queens,91,271,53,1,0,13,429,36081
New York,Oswego,0,1,0,0,0,0,1,36075
New York,Orange,3,6,1,0,0,0,10,36071
New York,Ontario,1,4,0,0,0,0,5,36069
New York,Onondaga,0,1,1,0,0,0,2,36067
New York,Oneida,2,1,0,0,0,0,3,36065
New York,Niagara,1,0,0,0,0,0,1,36063
New York,Nassau,7,25,1,0,0,0,33,36059
New York,Montgomery,0,1,0,0,0,0,1,36057
New York,Monroe,5,3,1,0,0,0,9,36055
New York,Madison,0,0,0,0,0,1,1,36053
New York,Livingston,0,1,0,0,0,0,1,36051
New York,Erie,6,1,0,0,0,0,7,36029
New York,Dutchess,5,0,4,0,0,1,10,36027
New York,Cortland,1,1,0,0,0,0,2,36023
New York,Clinton,0,1,0,0,0,0,1,36019
New York,Cattaraugus,1,0,0,0,0,0,1,36009
New York,Albany,7,3,3,0,0,0,13,36001
New Mexico,Valencia,2,0,0,0,0,0,2,35061
New Mexico,San Juan,0,1,0,0,0,0,1,35045
New Mexico,Doña Ana,3,0,2,0,0,3,8,35013
New Mexico,Bernalillo,25,7,6,1,0,0,39,35001
New Jersey,Warren,3,1,0,0,0,0,4,34041
New Jersey,Union,17,17,2,0,0,0,36,34039
New Jersey,Sussex,2,3,1,0,0,0,6,34037
New Jersey,Somerset,2,2,2,0,0,0,6,34035
New Jersey,Passaic,11,10,5,0,2,1,29,34031
New Jersey,Ocean,11,33,0,0,0,0,44,34029
New Jersey,Morris,15,21,2,0,0,0,38,34027
New Jersey,Monmouth,23,28,7,0,1,2,61,34025
New Jersey,Middlesex,23,16,7,1,0,1,48,34023
New Jersey,Mercer,10,8,5,0,0,0,23,34021
New Jersey,Hunterdon,2,3,0,0,0,0,5,34019
New Jersey,Hudson,20,15,5,0,2,0,42,34017
New Jersey,Gloucester,8,0,1,0,0,0,9,34015
New Jersey,Essex,13,14,1,0,0,0,28,34013
New Jersey,Cumberland,8,0,1,0,0,1,10,34011
New Jersey,Cape May,4,0,0,0,0,0,4,34009
New Jersey,Camden,17,12,5,0,0,0,34,34007
New Jersey,Burlington,13,6,4,0,0,1,24,34005
New Jersey,Bergen,37,46,9,0,0,0,92,34003
New Jersey,Atlantic,3,3,3,0,0,0,9,34001
New Hampshire,Strafford,3,0,0,0,0,0,3,33017
New Hampshire,Rockingham,0,1,1,0,0,0,2,33015
New Hampshire,Merrimack,3,1,0,0,0,0,4,33013
New Hampshire,Hillsborough,0,1,0,0,0,0,1,33011
New Hampshire,Grafton,1,0,0,0,0,0,1,33009
New Hampshire,Cheshire,1,1,1,0,0,0,3,33005
New Hampshire,Carroll,0,0,1,0,0,0,1,33003
